token,valence
–,0.11695345
augusta,-0.02383558
maar,-0.021024428
gus,0.10747125
dus,0.103558615
zaten,0.0046263635
vertrouwelijke,0.066611655
enigszins,-0.07452943
opgelaten,-0.06835778
gevoel,-0.040308893
mensen,0.00181894
zeer,0.13051593
persoonlijke,0.014981115
dingen,-0.015512347
weten,-0.02190832
rechtstreeks,-0.026785996
toevertrouwd,0.04789161
eruit,-0.030304903
geflapt,-0.15708181
tegen,-0.026093453
echtgenoot,0.04866007
bed,-0.03146998
onder,-0.07508583
genot,-0.020590574
kop,0.0073046535
koffie,0.014903296
schraapte,0.06822618
keel,-0.16394919
stokjes,0.026792
behendig,0.05932163
gaan,0.060778026
denk,0.021760795
glimlach,0.16699028
naar,-0.040134385
zal,0.06280376
mee,0.12684748
ophouden,-0.054227524
drummer,0.21106243
worden,-0.09741922
bloosde,-0.052320033
zoals,0.008183112
deed,-0.051157486
wanneer,-0.028848212
nauw,-0.06766605
gebracht,0.07174376
aan,0.04292918
informatiebalie,0.07647873
gezeten,0.024405688
omgaf,0.029880919
hoepelrok,0.07122078
geen,0.034104146
moeite,-0.021591991
concrete,-0.014070155
antwoorden,0.025433123
nonchalance,0.005355805
wel,0.11269522
gevraagd,0.061249495
is,0.07089828
huidige,0.0022430536
addis,0.06421943
abeba,0.05399038
kun,0.034444116
me,-0.07473295
vertellen,-0.023241151
welke,-0.084053904
chemische,-0.15495977
stoffen,-0.03251563
foto,0.030025192
’s,-0.03349925
zitten,-0.0005833581
beslist,0.123784035
gebloosd,0.022898763
want,-0.016050212
kunnen,0.015331056
ontstemmen,-0.094401665
’n,0.05563595
vraag,0.02381055
over,0.036082335
wilde,-0.068877056
precies,0.067744106
zou,-0.016399499
vreselijk,-0.10513688
vinden,0.13735184
probeerde,-0.17025572
luchthartig,0.015532151
klinken,-0.037566565
moeten,0.027407337
laten,-0.03997028
groeien,-0.0040535927
nemen,0.01677671
zoiets,-0.0585552
wil,0.03591923
waarom,-0.12726629
praat,-0.030460436
michael,0.049712628
kwam,-0.020815507
lopen,-0.042592138
boog,0.0035555847
voorover,0.06875563
raakte,-0.13589095
schouder,0.027538799
vrouw,0.020184018
dit,0.06027031
ging,0.013946347
zoveel,-0.056574643
huwelijk,0.023310855
omhelzing,-0.010858774
juich,-0.038447186
lachte,0.09923367
automatische,0.032078616
reden,0.00038424134
bestuur,0.033132788
voorgedragen,0.082585454
fronsend,0.009901709
herinner,0.05461246
nobelprijswinnaar,0.08415483
we,0.13164854
vorige,-0.034146138
zomer,0.09228442
tijdens,0.082296066
cruise,0.18805453
alaska,0.05267582
ontmoet,0.117184825
ring,0.06613553
wenkbrauw,0.08781612
hoeft,0.0071854983
gedicht,-0.020536877
schrijven,0.027288804
volledig,-0.09437135
krachttermen,-0.087081276
bestaat,-0.0015449747
schudde,-0.0030326433
servet,0.02032604
open,0.016984735
schoot,-0.06543528
waar,0.020659644
keek,-0.030661892
horloge,0.122234665
tijd,0.1423832
bepaalde,-0.043633647
leven,0.0046666563
droeg,0.065554395
helemaal,-0.0545945
maakte,-0.052259117
gek,-0.020766899
kate,0.03851238
vriendinnetje,0.11340296
moest,-0.0654472
brengen,0.04779119
logeerpartijtje,0.19966435
jullie,0.10594929
besteld,0.18296352
bestelt,0.14524615
excuus,0.031053841
gewoonlijk,0.05972584
alle,-0.08060554
andere,-0.06523564
ook,0.0438331
degene,-0.023020692
zorgde,0.0052396064
maaltijd,0.16317314
soepel,0.1466204
verliep,0.16384712
opgeroepen,-0.08169164
deur,-0.03339613
rennen,-0.09910387
god,-0.038233504
één,0.041272976
hand,0.012540251
losknoopte,0.0012289137
kunt,0.039209757
voorstellen,0.031781647
dag,0.10906928
heb,-0.00322246
gehad,0.07397901
drie,0.07768236
bogen,0.017430302
afwachting,-0.06120791
smeuïge,0.018683776
verhalen,-0.031201795
plaats,-0.029499419
daarvan,-0.059077945
wenkte,0.14321968
kelner,0.11252397
gewone,0.05237235
recept,0.070904315
stralende,0.13599499
keken,-0.014655661
eenvoudig,0.10605588
professionele,0.114252076
dienster,0.1549481
eten,0.08224636
tafels,0.12056881
bracht,0.037653025
iemand,-0.065733105
opofferde,0.015958592
zodat,-0.024533119
anders,0.0028402805
hoefde,-0.03747819
doen,0.025513574
drukke,0.0594276
new,-0.014678076
deden,-0.007287912
beroep,0.068381734
bedrijf,0.09750768
andermans,-0.1687141
rij,0.06903857
wilden,0.007703959
staan,-0.048732147
hele,-0.03692005
thuiszitten,0.030852312
begon,-0.042286135
krullende,0.05776323
rode,-0.00084414333
tornen,0.007712662
beginnen,0.07260474
elastiekje,-0.015523153
tanden,-0.04353623
geklemd,-0.06583497
ochtend,0.024529546
bij,0.083759844
beste,0.15914989
omstandigheden,-0.005483523
verschrikking,-0.16921824
dappere,-0.01325427
poging,-0.045139357
paardenstaart,0.024760604
maken,0.04809306
ongeveer,0.13927306
overeenkwam,0.021329762
elektrische,-0.006968163
stroom,-0.10485573
beteugelen,-0.15897092
dan,0.02355111
beurt,0.12024433
sta,-0.044697553
recht,-0.031457044
raampje,-0.056212306
krijgt,0.058806196
loketbediende,0.08338473
zweer,-0.05834911
hartaanval,-0.008743212
valt,0.039482124
vloer,-0.03376224
dood,-0.15195104
o,0.07518047
ademloos,-0.029401481
mmm,0.17173618
vooral,-0.03950067
omdat,-0.12646025
loket,0.053978577
gesloten,0.05316545
weer,-0.002772294
opnieuw,-0.116697155
uren,-0.003722854
rekening,0.059576564
geval,-0.0047723353
afspraak,0.09814968
twee,0.047173873
exeter,0.011640023
school,0.0791066
ja,0.16070844
meneer,0.118590705
j.,0.015858104
bleek,-0.009334897
derdejaars,0.17089382
heleboel,0.063279286
extra,0.17241573
geld,0.086141035
nodig,0.16977453
blijven,0.0058766156
slim,0.16042502
hoef,0.012802571
acceptabel,0.07592392
schoolhoofd,0.065789394
mijn,-0.051404834
verspilde,0.013431653
preek,0.00871025
verantwoordelijkheid,0.011340022
volwassenen,-0.020793132
verteld,-0.00085311383
net,0.11907538
weinig,0.07305867
plan,0.050994992
geweten,-0.025506668
vervolgens,8.9278445e-05
ophalen,0.039875153
voetbaltraining,0.11806937
kreeg,-0.066594176
auto,-0.060661342
lekke,0.0179623
band,0.116245
verwisseld,0.068248354
voetbalveld,0.089461915
zij,-0.01601176
lift,0.08023355
gevonden,0.14342469
huis,0.03702776
susan,0.06678835
gebeurd,-0.0106894
hebt,0.024131771
gesproken,0.023809962
indruk,0.08216326
verkeerd,-0.103152186
zit,0.028475352
vanavond,0.20987774
jouw,0.006662391
graag,0.099616036
moet,0.045798223
werken,0.1114967
knikte,0.10604123
glimlachte,0.15369815
zette,0.033127144
luider,-0.016609002
allemaal,0.05353363
jeetje,0.04934977
mel,0.14233777
schreeuwen,-0.19093794
toon,0.042727083
onmiddellijk,-0.083787285
vriendelijker,0.042296305
eerlijk,0.021025479
gezegd,0.017379621
gaf,0.03500308
toe,0.120939314
afgevoerd,-0.03371366
ambulance,-0.07356821
schepte,0.047898553
lo,0.07524398
mein,0.004019769
bord,0.055409636
vandaag,0.16256967
trouwens,0.14183572
emily,0.022860318
schilderij,0.054397114
gezien,-0.0009939661
jij,0.11122891
haalde,-0.03569398
schouders,0.091619074
ems,0.011656119
lijkt,0.07206238
…,0.033643186
nou,0.08624175
professioneel,0.11699421
vergulde,0.06847638
lijst,0.106385365
grote,0.057306934
blauwe,0.0057856487
lint,-0.09116939
eronder,-0.10529493
lachen,-0.05284123
tekeningen,0.06940799
bewaarde,0.051199187
samen,0.15636791
chris,0.039968103
ons,0.04240485
thuis,0.09630777
lachten,0.024825824
pensioen,0.13005836
zouden,0.0104855215
zorgen,-0.0032626167
zult,0.06897766
zien,-0.01678682
zeventiende,0.055174224
eenentwintigste,0.11996308
expositie,0.1800096
dertigste,0.16868046
hangt,0.068007365
museum,0.093206644
moderne,0.10233619
kunst,0.10650713
arm,0.008517623
draaide,-0.012197841
wijzerplaat,0.10975357
minuten,0.0069935094
terugvallen,0.062699094
zeven,0.07048217
avonds,0.04310961
slaapzak,-0.02887744
ligt,0.030075818
gaapte,0.027100127
verandering,-0.012236297
loopbaan,0.1097579
minder,0.034994386
stress,-0.13418768
minister,0.05323013
israël,-0.09998403
schaal,0.09338527
mu,0.027391005
shi,-0.059578203
kip,0.011157967
pannenkoekjes,0.094156235
rollen,-0.07099396
deelde,0.063690946
rond,0.048623428
hoe,-0.089631915
staar,-0.077943236
mevrouw,0.08712034
afwezig,0.06988552
weg,-0.072266534
waarschijnlijk,-0.010373786
houdt,0.024190357
volledige,0.09497474
gezichtsvermogen,-0.058618754
zuchtte,-0.008613333
kan,0.005032261
wakker,-0.078152955
wilt,0.09421611
contactlenzen,-0.042184435
af,-0.13588655
naam,0.03366816
goede,0.15525433
chirurg,0.1458184
opereren,0.0060003996
glimlachend,0.20522884
ethische,-0.07861596
wet,-0.07907665
verbiedt,-0.047896683
heeft,-0.014178602
betrekking,0.18633875
virtuele,0.06366137
familie,0.05676028
mooi,0.22704768
statuut,0.06087794
samenwonen,0.025679827
lang,-0.026870444
genoeg,0.073045015
elkaars,-0.07108316
lip,-0.019211665
slikte,-0.18848948
laatste,0.036443625
hap,0.05311048
pannenkoekje,0.08598822
stond,-0.03672187
rijke,0.0696797
ontspannende,0.21093208
omdraaide,0.0070436765
hulpkelner,0.19076301
gelukskoekjes,0.073533885
terugkwam,0.049064774
stopte,-0.0024229884
paar,0.06598848
zak,0.028908733
hier,0.10569595
krijgen,0.014202505
koekje,0.09639717
brak,-0.10025525
geschenk,0.1565873
liefde,-0.037237823
licht,-0.04423409
opgevat,0.041785147
las,-0.062270723
hardop,-0.096869096
jong,0.093661286
voelt,-0.07261287
bekeek,0.030860223
zegt,0.06680738
dunne,-0.044996943
strookje,0.02975725
papier,-0.011900932
geloofde,-0.05832362
geluk,0.16751844
kans,0.124426484
bewaarheid,-0.07991667
boodschap,-0.023922756
uitsprak,-0.08232325
overgebleven,0.034927785
koekjes,0.10468515
hoor,0.0758208
lachend,0.14884134
tekst,0.013290547
goed,0.08946376
gratis,0.25768167
kijk,0.04036633
eens,0.0647852
vast,0.035200126
vallen,-0.032462284
wie,-0.02653224
gehoord,0.021684825
gelukskoekje,0.04245771
zonder,-0.01499101
lag,-0.047197547
plooien,-0.04231537
hoofd,-0.08239757
hief,0.06282107
theekopje,-0.013388105
toekomst,0.019020855
dronk,0.04055959
thee,0.0073114075
gehaast,-0.027834982
vandoor,0.0021435213
bainbridge,0.024837736
hampshire,0.03280406
voornamelijk,-0.045642592
bevolkt,-0.049818363
docenten,0.07696551
college,0.13702577
artsen,-0.0013904907
plaatselijke,0.049457
ziekenhuis,-0.035906814
universiteit,0.1510374
aantrekkelijk,0.07280313
woongebied,-0.049434662
ver,-0.062461615
landelijk,0.10250935
beschouwd,0.105363294
verspreid,-0.04533317
oude,-0.003375955
koppige,-0.061125763
smalle,0.022013284
wegen,-0.038962465
aftakkingen,-0.06114856
percelen,0.032860134
grond,-0.05511436
twintigduizend,0.07161924
vierkante,0.08013958
meter,0.02183523
eind,0.088243276
zeventig,0.06802965
stadje,0.061458696
wood,0.021081954
hollow,0.0025338288
road,-0.01393687
woonden,0.052762564
vormden,0.07928355
vierkant,0.033896692
rechthoekige,0.08856983
driehoeken,-0.005604543
gemeenschappelijke,0.044919908
schuine,0.050726987
zijde,0.0033442304
smal,0.06011385
oprit,0.027585804
breder,0.08988077
omgekeerde,-0.016696695
huizen,-0.004205819
stonden,-0.026828349
gescheiden,0.004510941
groepje,0.01272374
bomen,-0.033839088
gezicht,-0.10042329
wegnam,-0.085136354
volgden,0.060855456
ieder,0.007386584
eigen,-0.0995206
grijze,-0.029089201
volvo,-0.042193778
deze,-0.019528527
opdraaide,0.0140380785
ruim,0.16996817
halve,0.021662958
kilometer,0.032425586
heuvelopwaarts,-0.029350266
granieten,0.03903983
paaltje,0.030085951
nummer,0.079121105
vierendertig,0.06549048
aangaf,0.11354635
linksaf,-0.018604849
volgende,0.023999099
motor,-0.0018777251
toyota,-0.034552556
stapte,-0.057702284
afgegeven,0.03330385
grady,0.016495282
beau,0.06647111
heupen,0.060316212
borst,-0.039987765
springen,-0.06922415
ierse,0.07605691
dansten,0.053226717
rondjes,0.04950179
wachtte,0.14872813
tot,-0.15466002
gestapt,-0.020940997
em,0.08098863
vloeiende,0.076940335
economische,-0.024925448
beweging,-0.047684193
sloot,-0.0051131584
portier,-0.019902486
acht,0.08291982
misschien,-0.008191146
liep,-0.015029315
zijdeur,-0.0014267135
keuken,0.0072511137
stapeltje,0.055139393
boeken,0.04280115
dienst,0.14195842
strekte,0.0145486165
boven,0.055441953
richards,-0.05092217
dierenkliniek,0.096555546
westons,-0.031697087
riep,-0.049841516
honden,-0.04602291
gewoon,-0.0047888868
doorgingen,0.0628613
najagen,0.0038989037
bladeren,-0.09552647
wind,-0.0866164
belachelijk,-0.070016555
dierenarts,0.09769076
baas,0.07681292
opzij,-0.041159563
floot,0.16458035
stoven,-0.06725556
brachten,0.027873792
frisse,0.124200046
avond,0.064408004
binnen,0.07245954
maakt,-0.010214832
verschil,0.031435072
nachts,-0.070628956
telefoon,-0.028170057
bedenken,-0.0148068145
godsnaam,-0.18007602
mis,0.13786279
kon,-0.10050695
gegaan,0.04657378
principe,-0.029779285
spoedgeval,0.0816202
tastte,-0.013608009
spreek,-0.046536837
heer,0.07707834
u,0.07916832
spreekt,-0.004013166
dokter,0.06306892
corrigeerde,0.039246783
dr.,0.107791945
agent,0.04593405
stanley,0.044097543
bureau,0.06986745
uw,0.027286872
zoon,0.03941548
gewond,-0.10898507
geraakt,-0.122857735
memorial,0.07685927
overgebracht,0.095954806
voelde,-0.15531744
zinnen,-0.08316882
verstrikt,-0.13680774
raakten,-0.05592696
auto-ongeluk,-0.113847196
volgde,0.08273023
korte,0.062115155
stilte,0.04292778
hart,-0.11377695
dank,0.13124874
ophing,0.08655713
wist,-0.1215835
bedankte,0.16199774
zulk,-0.0040600225
verschrikkelijk,-0.117750436
nieuws,0.07380051
moment,0.052105308
waarop,-0.042840194
hoorn,0.0054479465
neerlegde,0.0650299
duizend,-0.033706237
vragen,0.03253428
zin,0.052118197
christopher,-0.05682178
ernstig,-0.058550306
oppervlakkig,-0.006650187
kleren,-0.07959774
wasmand,-0.0834098
gegooid,-0.07122046
beneden,0.055850457
kostte,0.0040038736
zeventien,0.04803884
bereiken,0.09636872
snelde,-0.011139706
autotelefoon,0.05678241
oppakte,0.080061354
belde,0.046386078
zeiden,0.012444176
tiende,0.0857271
keer,0.014714386
knoopte,0.04692378
gulp,-0.033686835
spijkerbroek,-0.0005034469
voeten,-0.043953177
tennisschoenen,0.031360414
bedacht,0.0097448155
sokken,-0.037647203
beefden,-0.07986131
merkte,0.03413731
verbaasd,-0.0056136996
alles,0.011531845
duwen,-0.114887774
autosleutels,0.051671263
snelste,0.06973029
route,0.07081625
afgevraagd,-0.06327336
gebeuren,0.003898941
midden,-0.007631816
nacht,-0.054048672
telefoontje,0.011606306
komen,0.017702643
vermogen,0.07313506
sprakeloos,-0.08064653
ongelovig,-0.07100611
diep,-0.06939432
vanbinnen,-0.12913878
verwacht,0.063875005
bonk,0.011323839
zenuwen,-0.08543652
hield,-0.048709564
reed,0.02477411
zorgvuldig,-0.06172047
achteruit,-0.055487745
teken,0.062250435
paniek,-0.26343268
verraadde,-0.09391303
zenuwtic,-0.004274145
wang,0.049994774
opereert,0.038141288
zachte,0.017304726
slepende,-0.025815565
litanie,-0.08031243
praten,-0.008625929
liefje,0.11616942
donker,-0.04609431
tastend,-0.081481464
absolute,0.040510207
rust,0.13063079
tafereel,-0.03350447
vreedzame,0.012360141
ontbreken,0.0022334456
ramen,0.0128251165
willen,0.03329239
steek,-0.1324913
afgunst,-0.19167992
normaal,-0.014406649
uitzag,0.07475604
wij,0.110898726
dacht,-0.05914542
remlichten,-0.082282454
afsloeg,0.075367995
richting,-0.03434079
stad,0.029577687
trottoir,-0.06499451
drietal,0.053289827
tieners,0.0015396588
groene,0.023786057
paartje,0.040671144
buurt,-0.05705564
seks,0.06727412
openbare,-0.03896284
mogelijk,-0.02636567
doet,0.021954142
orde,0.06936192
herinneren,-0.019751936
hetzelfde,0.039685782
romeo,0.007253574
julia,0.017966803
betreft,0.13816261
rechts,-0.004317241
vraagstuk,-0.027697884
spelen,0.13728839
begonnen,0.007873584
iedereen,0.04977937
begin,0.07997729
toegejuicht,0.054793246
vierenhalf,-0.0021077609
zoons,0.017429069
klant,0.21566835
uitstekende,0.24493884
plaatsen,0.024625238
concert,0.22065572
metallica,0.081444226
slapen,-0.0062783267
(,0.019088857
nam,0.008406419
ergens,-0.06970264
seizoen,0.14493965
klaarstaan,0.12947683
voetbalwedstrijd,0.12287629
zaterdag,0.21171293
plannen,0.063461676
invasie,-0.061401553
familieleden,-0.017429322
werk,0.13520011
echtgenoten,-0.016129062
verscheidene,-0.007949524
vriendinnen,0.10287813
schoongemaakt,0.053422913
bang,-0.12871778
hoeven,-0.025803937
vervelende,-0.06651743
gevolgen,-0.10028157
dom,-0.02311448
lijken,-0.042583905
dame,0.07076831
woord,-0.041542694
waardoor,-0.0795999
ogenblik,0.02741938
verbijsterd,-0.15467817
brutaliteit,-0.14002669
opmerking,-0.078136146
zomin,-0.057734996
realiseerde,-0.06621365
sigaret,0.0589163
tenminste,0.17920108
zwaaide,0.12119376
sorry,-0.019266967
schuddend,-0.03303563
geloven,-0.05681631
leek,-0.056682035
zagen,-0.03663251
leren,0.041287817
vesten,-0.040704798
alleen,-0.004621133
stille,-0.03195303
uurtjes,0.14025043
veranderden,-0.15193167
keurig,0.09642236
geboende,0.069296405
adolescenten,-0.10527761
ouders,0.021348834
doorbrachten,0.10032588
zichzelf,-0.16593167
gedachte,-0.16528723
ander,-0.010730401
volkomen,-0.09736953
bespottelijk,-0.043139383
schenken,0.06582836
merken,-0.0016901344
dramatisch,0.0073974654
gaande,0.0984976
trilling,-0.08648682
heup,0.078794375
schoof,-0.014327623
veronderstelling,-0.0850809
verliefde,-0.027831614
dichtbij,-0.042906865
gekomen,0.04408134
zoemen,0.020328633
omlaag,-0.018151244
oorzaak,-0.15076941
sporen,-0.07801769
herinnerde,-0.036815945
pieper,0.039615113
tas,0.002057206
erop,-0.009101236
gestaan,0.015961923
stel,0.058703285
uiteraard,0.17453557
meeste,0.0006570816
preventieve,-0.07713133
medicijnen,-0.053830855
geldt,0.07785989
voldoende,0.109926134
noodgevallen,0.059038546
voorkomen,-0.106840655
afgegaan,0.05820503
middelen,0.049678043
tapijt,-0.026362238
schoon,0.04313105
tweede,0.05035726
batterijen,0.10015203
viste,0.044824205
drukte,0.01195121
knop,0.0915637
beller,-0.0036406708
identificeerde,-0.013531506
vanuit,0.053306714
gereden,0.05191629
nadat,-0.009686198
gekropen,-0.10137219
straat,-0.07393351
dichtstbijzijnde,-0.008844197
telefooncel,-0.049779426
beklad,-0.12585507
initialen,0.029907573
zodra,0.033719
opnam,0.034554325
hoorde,-0.09516984
dreun,0.051721767
banden,-0.05123329
stem,-0.07292247
stokte,-0.012346944
later,0.11784459
achterlatend,-0.12930481
halen,-0.025109023
straalde,0.017401278
heldere,0.06281069
zilveren,0.13160029
schotels,0.07098914
ineen,-0.12190931
krimpen,-0.08009015
minstens,0.09805463
schreeuwden,-0.16721904
aanwijzingen,0.058354314
sneden,-0.2205404
los,-0.06671074
benen,-0.0048523694
bewegen,-0.055963162
waarmee,-0.028461557
vastgesnoerd,0.0076294243
kraag,-0.050558604
verankerde,-0.017785948
bloeddruk,0.025442988
zakt,-0.066590525
pupillen,-0.055452064
verwijd,-0.084739536
reactie,-0.0888409
horen,-0.011052424
versnelde,0.023373278
hartslag,0.0005976856
zorg,0.083736256
infusen,-0.12126154
veertien,0.050447647
zestien,0.058090203
geef,0.05964648
zout,-0.060679637
liter,0.015927646
wijdopen,-0.09609148
alsjeblieft,-0.07654898
bloedtests,0.007928185
bloedbeeld,0.032254793
differentiatie,0.0125011355
bloedplaatjes,-0.07884684
standaard,0.17402142
bepalingen,-0.061096314
urineonderzoek,-0.05706822
onderzoek,0.02700799
stuur,-0.030260377
bloedbank,0.015398659
stekende,-0.22978336
pijn,-0.21146911
elleboogholte,0.03807923
scherpe,-0.11210782
geluid,-0.07122902
scheurend,-0.121744275
kleefband,0.012551453
nieuwe,0.10665467
sprak,-0.07346884
mooie,0.18681179
rotzooi,-0.084185034
prik,0.021862991
voorhoofd,-0.019280162
kromde,-0.008906726
zweefde,-0.0020917254
warme,0.047646113
verpleegster,0.05528023
rustig,0.10632224
sussend,0.05108647
wisten,-0.01816453
zichtbaar,-0.019239422
bel,0.09676824
röntgen,0.017465
halswervels,-0.09701737
bekijken,0.06853122
klonken,-0.06582689
allerlei,-0.086490475
geluiden,-0.10329101
geroep,-0.087302715
spleet,-0.09375093
gordijn,-0.060880147
vader,0.0027455091
witte,0.060615756
overhemd,-0.034455083
dichtgeknoopt,0.09367497
verpleegsters,-0.011458611
doorlaten,0.0352349
gebaarde,0.11612819
infuus,-0.051459674
rukken,-0.13080618
schreeuwde,-0.17715254
klank,-0.020014584
golf,-0.15086156
angst,-0.39079466
voorschriften,-0.06112083
gestolen,0.024695812
gekletter,-0.050131917
geschuifel,-0.070682675
aandacht,0.053030893
afgeleid,0.023755506
geven,0.029719923
besmeurde,-0.1494499
duiken,-0.036235977
vocht,-0.24393116
nekkraag,0.030115964
overal,-0.014878259
bloed,-0.22378488
hals,-0.010560021
arts,0.07554846
hulp,0.030299261
hen,-0.059150755
hollen,-0.07008915
voegde,-0.036213018
eraan,0.002459243
greep,-0.094146796
stevig,-0.029378356
hand.,0.06346895
meisje,0.021024976
binnengebracht,0.04448784
ziet,0.017901212
ernaar,-0.09993054
scheurtje,-0.061570812
schedel,-0.11177561
sturen,0.06032086
nekwervels,-0.0918869
ct-scan,0.0038397312
hard,-0.036555
knijpen,-0.0749118
trouwring,0.08090639
groef,-0.062986255
erg,0.080863
fluisterde,-0.05199118
schor,-0.052376628
aarzelende,0.003326118
geschokt,-0.21437795
ongetwijfeld,0.05922064
rand,-0.014459556
mocht,0.004573103
waakhonden,-0.017615631
ruimte,0.06464167
komt,0.05324527
assistente,0.20258345
wacht,0.17143458
meegaan,0.09209369
blijft,0.039143257
brancard,-0.037354097
verplegend,0.01733848
personeel,0.12498351
verhoogde,0.045925982
snelheid,0.046154782
verdween,-0.033947192
voordat,0.02628782
konden,-0.014090411
behandeld,-0.0076602353
stapten,-0.012569569
gelijktijdig,0.0089219585
voren,0.05707553
mij,-0.02367229
ingericht,0.25128672
bultige,-0.043802805
banken,0.051831584
lelijke,-0.10785197
formica,0.02007287
bijzettafels,0.11679518
slaakte,0.018918842
zucht,0.086828105
verlichting,0.08678953
deskundige,0.14074752
verbale,-0.03543368
non-verbale,-0.03544117
signalen,-0.11249009
spoed,0.08943598
onderzoekskamer,-0.021440867
gevaar,-0.17303409
geweken,-0.010160483
zaal,0.019743666
gaat,0.06763977
alstublieft,-0.027516877
absoluut,0.0074980184
knieën,-0.058012217
begaven,0.014545351
bleef,-0.05035911
verstijfd,-0.26021084
spijt,-0.03192593
heel,0.18057114
woorden,-0.14033855
bewerken,0.02739776
betekenden,0.00709052
kromp,-0.05903221
verder,-0.0049668886
zakte,-0.08739141
begraven,-0.10014492
bevende,-0.09275363
dochter,0.031056121
overleden,-0.03196024
schotwond,-0.13867205
slag,-0.017847493
zweeg,0.042065628
identificeren,-0.060012117
knipperen,-0.07520431
onwillekeurige,-0.14990117
daad,-0.030686662
ademhalen,-0.07499832
strikt,0.04686744
afhankelijk,0.035530567
zelfbeheersing,-0.039473623
begrijp,-0.051262297
hoog,0.073081605
herhaalde,-0.06209575
bedoelde,0.00039234338
leeft,0.016530074
gedaan,0.02825687
klemden,-0.040051516
bot,-0.0061237067
bezit,0.047055528
houden,-0.016325546
