token,aap,frequency
waarschijnlijk,-0.06587585,241574
zorgen,-0.04793132,241556
vrouwen,0.051562816,240800
schouders,0.010959746,240616
adem,-0.01564068,239913
werden,-0.009702936,239249
gemaakt,-0.0019269127,239215
diep,-0.0076373033,238511
sloeg,-0.03867326,237358
eerder,-0.023563348,236974
wij,0.043289512,236303
viel,-0.015035477,236097
dood,-0.15148568,236067
mag,0.017224077,234833
soms,-0.07162033,234815
avond,0.044458423,234241
lange,0.07477758,230074
doet,-0.033710673,229671
bang,-0.14369756,229459
wilt,0.0116198,229442
zette,-0.00043112785,228967
rug,-0.01537975,228863
dagen,0.001942873,228579
dicht,-0.046444148,227281
wachten,-0.025158705,224538
ervan,0.0019371286,224084
gekomen,-0.017917695,223503
klonk,-0.022747733,223383
vind,0.03187105,222962
mogelijk,0.004838895,222496
goede,0.07832862,221751
familie,0.05629643,221284
lopen,-0.060451567,220936
pijn,-0.13859576,220291
naam,0.038793743,217913
arm,0.013234973,217652
nadat,-0.0038463399,217372
brengen,-0.006782422,216717
opnieuw,-0.03999804,214135
thuis,0.045693394,210528
meisje,0.051050693,210464
zie,-0.010048045,209889
los,-0.074988075,209369
licht,0.07821278,209307
volgende,-0.0070485584,209295
soort,0.0044746995,208113
vingers,0.03835117,207425
waarop,0.036289476,206977
tafel,0.020940589,205845
groot,0.043124758,205565
schudde,-0.03438696,204169
glimlach,0.117341846,203443
zullen,0.013840826,200707
jaren,0.0046571717,200140
gedachten,0.0023421943,199666
zin,0.00090981275,199427
vaak,0.0018146411,198121
plan,-0.010014415,198116
antwoordde,0.0033144902,198056
verteld,-0.042498432,198052
geworden,-0.0068989694,198027
volgens,0.024516584,196227
ander,-0.007965073,195327
mooi,0.18802789,194989
glimlachte,0.0967733,194159
best,0.00514178,193804
tijdens,0.028512493,192642
langzaam,0.048404638,191948
grond,-0.07415093,191437
elk,0.015863411,191253
rond,0.044849366,190419
liefde,0.08047214,190369
ten,0.0036867931,189969
konden,0.022951847,189888
reden,-0.028771318,189007
riep,-0.064838044,188486
zoveel,-0.0046876967,186027
nacht,0.010619216,185956
ergens,-0.032444723,185420
ouders,0.012407195,184104
ziet,0.00028536655,183303
blij,0.06261683,182760
uw,0.0077944174,182668
lijkt,-0.003372285,182407
helpen,-0.051822145,182061
hoop,0.028450184,181900
klaar,0.025775885,179750
stak,-0.0059475973,179663
kun,0.007034667,179542
jouw,-0.021547278,178639
zacht,0.073173955,178062
enkele,-0.0012144698,176934
stonden,0.0058438703,176236
liggen,-0.03156925,176209
hoor,-0.021737631,176180
halen,-0.057774182,175456
foto,0.014403883,175100
gelukkig,0.09211822,173679
beste,0.057788663,173260
hard,-0.048312988,172642
jongen,0.0067843273,172342
neer,-0.028870532,172078
lucht,0.024530433,171586
daarom,-0.033127904,171077
telefoon,-0.028307125,170587
woord,0.0069053546,170513
gebeurd,-0.06904788,170132
oké,-0.0020355165,169091
gevonden,0.037775576,168152
antwoord,-0.005620327,168135
plek,0.08066781,167213
klein,0.072226256,166683
zetten,-0.051864203,166235
stuk,-0.0012658648,166132
sinds,0.009260148,165665
mocht,0.01821057,165311
spijt,-0.09972477,164663
”,0.030092996,164508
benen,0.02558636,164497
bracht,0.027158372,163430
vertelde,-0.01034792,162871
stoel,-0.0077521503,162826
kans,0.0023820326,162654
gingen,0.038358107,162396
huid,0.06386301,161174
stad,0.08308339,160666
maakt,-0.024330873,160542
kwamen,-0.0054999366,160377
week,0.013954546,159867
“,0.0039813556,159453
voelen,-0.036373623,159204
broer,-0.013217792,158469
zodra,0.0028675497,158211
minder,0.018313125,157613
omhoog,-0.0022898763,157469
uiteindelijk,-0.034319222,157391
vooral,0.015133828,157389
gegaan,-0.018148512,157311
gegeven,0.012325727,157031
waarin,0.043932103,156822
werken,0.019774675,156007
leuk,0.09447998,155583
moeite,-0.024850436,155144
opeens,-0.05917748,154964
vergeten,-0.037611052,154141
eindelijk,0.037704676,154024
zoon,0.018777877,153358
vallen,-0.08329955,152058
minuten,-0.0076726135,151982
lachte,0.033715963,151728
langer,-0.023602575,151601
beneden,-0.0012623593,151531
glas,0.044705126,151456
drukte,0.0013854206,151176
vandaag,0.027935494,150983
vervolgens,0.0030318946,150856
stil,0.013945427,150818
juist,0.0046631247,149271
druk,-0.010167118,148785
geloof,-0.009734973,148456
tien,-0.0018354859,148242
gelijk,-0.011626191,148160
hetzelfde,0.02492278,147964
allebei,0.013316672,146585
deel,0.011642508,146387
dezelfde,0.025253471,145807
recht,-0.046023265,145651
weinig,0.038269985,144985
plotseling,-0.06567793,144908
kijk,-0.012823129,144702
bedoel,-0.051144004,143889
moeilijk,-0.023593828,143740
erop,0.019263422,143622
baby,0.05319521,143141
keuken,0.041267753,143136
vanaf,0.02105997,143070
vier,0.0048591867,141599
zwarte,0.030003168,141436
vijf,0.0017968789,141088
tweede,-0.02209438,140161
anderen,-0.033615887,140153
inderdaad,0.031115405,140133
ene,-0.013955656,139865
hou,-0.032874897,139716
gesprek,0.017639657,139697
neem,0.0034846142,139461
gek,-0.0829386,139225
staarde,-0.036479883,139022
gehoord,-0.03767388,138857
donkere,0.06721242,138796
liever,-0.055855073,138731
schouder,0.0012700548,138221
ver,-0.007773131,137768
toon,0.00548869,137612
dochter,0.038717292,137018
gang,-0.00676712,136871
fluisterde,-0.014605762,135787
eraan,0.0014820434,135396
tranen,-0.08702291,135290
denkt,-0.07938222,135077
bezig,0.019489769,134950
rest,0.0066134445,134516
slechts,0.058119386,134205
gekregen,-0.010364883,134018
genomen,0.0040053874,133647
leren,0.06839225,133148
aandacht,0.062512666,132934
verwacht,-0.0037648492,132677
schoot,-0.04876088,132595
borst,0.015813649,132424
verhaal,0.004817769,132377
weken,-0.00518273,131179
waardoor,-0.015792813,131020
wakker,-0.062469285,130342
trekken,-0.04458456,130254
witte,0.089015074,130205
gedachte,-0.044416368,129789
vrienden,0.04660742,129399
koffie,0.024839897,129167
huwelijk,0.008418478,129157
nauwelijks,0.004491154,128953
kijkt,-0.04070946,128020
merkte,0.008184761,127902
bovendien,0.03231509,127599
dank,0.084784925,127369
school,0.00055911765,126836
afgelopen,0.015538775,125309
zaten,-0.005635567,125162
maanden,-0.021557115,125123
mompelde,-0.021515824,124932
droeg,0.059658527,124891
me.,-0.02194494,124718
kende,0.034145646,124693
feit,-0.029306337,124676
geloven,-0.06245105,124437
ineens,-0.06566861,124314
morgen,0.031253718,124157
keel,-0.058008943,123558
richting,0.024515864,123398
gedacht,-0.012045093,123365
beginnen,-0.014951246,123208
raam,0.0012343666,122762
per,-0.022031799,122611
kus,0.06917843,122458
houdt,-0.024465438,122420
lachen,-0.0659274,122153
begin,0.029508721,121957
land,0.047166906,121518
ervoor,0.017860806,121385
geluid,-0.02986424,121362
begonnen,-0.004834676,119998
moesten,-0.012572691,119984
ieder,0.015089016,119829
probleem,-0.0029708222,119233
stilte,0.016273163,119210
relatie,0.034517094,119163
voeten,-0.019441454,119157
vindt,0.017294126,119021
hoofdstuk,0.025324918,118812
vriend,0.03636952,118777
verlangen,0.003927961,118745
stellen,-0.02390809,118721
jack,0.023381177,118617
bank,0.015101546,118371
vanavond,0.068352975,118233
angst,-0.16429967,117786
stap,-0.04428016,117728
begreep,-0.037873473,117357
voorbij,0.0023162737,116857
buurt,0.017722055,116852
slapen,-0.013588924,116570
eenmaal,0.026400495,116331
waarna,0.040146053,116218
hè,-0.003850717,115889
stapte,-0.0018233061,115738
zaak,-0.024156466,115517
niks,-0.0775289,115390
trouwen,-0.021443732,115230
voorzichtig,-0.009148423,115143
kleren,0.0030738264,114869
boog,0.02888874,114853
kantoor,0.020655133,114610
gevraagd,-0.03232054,114382
trap,-0.02687648,114252
mezelf,-0.06291427,113897
rustig,0.06243763,113568
vlak,-0.00012405217,113299
wees,-0.01926212,113100
sprak,0.02663142,112928
donker,0.042579465,112862
the,0.030570298,112732
mooie,0.17393626,112725
wierp,-0.030213572,112446
bloed,-0.091087885,111645
muur,-0.057693303,111600
greep,-0.07163431,111306
besefte,-0.04436677,111050
jonge,0.062448695,111019
neus,-0.021580707,110740
waarheid,-0.056722224,109919
maak,-0.0146292895,109250
bleek,0.018234167,109075
geeft,-0.004276328,108992
punt,-0.02527171,108880
zoeken,-0.02616462,108679
stel,-0.020163381,108201
zus,0.014733858,107773
welke,-0.036867607,107681
duwde,-0.039754167,107524
ter,0.008051656,107400
vraagt,-0.05588939,107374
meneer,-0.012296059,107269
eruit,-0.06873142,107103
ligt,-0.022723202,106902
zoek,0.0033672142,106773
gebeuren,-0.074988365,106162
eerlijk,-0.011834629,106149
overeind,-0.059827775,106017
ochtend,0.023137875,105534
proberen,-0.075351745,105202
zoiets,-0.077726245,105153
dokter,0.0026024487,105063
haren,0.037042595,104995
gebracht,-0.011298097,104935
lekker,0.08901529,104907
daarvan,-0.008779746,104890
zachtjes,0.020450996,104842
ondanks,0.020700715,104402
pakken,-0.073729254,104392
bureau,-0.009302981,104344
blijft,-0.012198176,104304
streek,0.013823884,104277
slaap,0.0035129562,103921
boek,0.062286362,103876
vanuit,0.004893981,103854
korte,0.05426152,103635
vrij,0.07753096,103606
straat,-0.040269826,103434
kort,0.06476477,103292
kop,-0.036122825,102746
hing,0.001754798,102635
woede,-0.16959658,102155
lezen,-0.022087075,102121
hemel,0.07476647,102120
ruimte,0.09466041,101965
midden,0.016037231,101542
geef,-0.021257296,100981
voel,-0.038005378,100856
zon,0.11673982,100682
liepen,0.024883315,100654
kussen,0.0123793855,100206
hand.,0.051643785,100094
gevoelens,-0.022749007,99689
men,0.01630216,99549
beide,0.003001934,99412
spreken,-0.017573416,99300
eind,-0.0009788359,99241
tegenover,-0.028683927,99232
gehouden,-0.017295608,99223
stelde,0.017194036,98905
wachtte,0.00017748028,98904
warm,0.12137138,98849
jurk,0.096599385,98809
zaken,0.008525837,98737
vandaan,-0.053133853,98515
wacht,-0.020438388,98438
erin,-0.022239335,98328
alsjeblieft,-0.09206246,98157
sloot,-0.010565098,97886
politie,-0.15084487,97852
oud,0.015702575,97781
hoeft,-0.035897754,97698
god,-0.010380045,97034
spelen,0.05332812,96854
rode,0.03714623,96838
onmiddellijk,-0.058293033,96828
half,-0.042952094,96703
verdwenen,-0.010503264,96645
gebruiken,-0.0120963175,96642
waarmee,0.009235084,96338
bellen,-0.06727072,96083
zucht,-0.0061328337,96044
hare,0.08984087,95996
echte,0.032244153,95942
kwaad,-0.17001078,95925
seks,0.050164655,95830
begrijp,-0.053130206,95627
vriendin,0.069204226,95586
kennen,0.059256285,95327
vroeger,0.080803715,95258
buik,0.01751367,95180
prima,0.08757962,95001
boos,-0.18605429,94984
waarvan,0.036031105,94561
zakken,-0.051301718,94151
overal,0.02255094,94055
vertrouwen,-0.00165914,94012
situatie,-0.02831234,93914
inmiddels,0.028873108,93801
oog,0.040149983,93624
zeer,0.110481724,93581
raakte,-0.040941108,93548
jongens,0.005930851,93477
daarmee,-0.07858622,93215
hoefde,-0.01465584,93051
belangrijk,0.054831192,93010
hoeveel,-0.047048118,92830
hulp,-0.034838635,92799
zes,-0.0016954727,92412
zachte,0.12210862,92409
iedere,0.010924881,92208
hoge,0.02640249,91929
indruk,0.02437073,91559
vreemd,0.01501973,91299
verbaasd,-0.031920332,91271
nek,-0.007484721,91245
getrouwd,0.013900436,90945
problemen,-0.047448,90940
kuste,0.072943866,90688
trouwens,0.018102493,90244
besloot,-0.015514351,89728
hotel,0.10239244,89365
warme,0.14909743,89086
mens,-0.007220879,88939
nogal,-0.0129059665,88216
wenkbrauwen,0.0015608929,88206
mevrouw,0.022224454,87920
vanwege,-0.10230565,87665
herinnerde,-0.0034362916,87645
wangen,-0.004478134,87592
gesproken,0.0027535353,87106
krijgt,-0.029765487,86802
nergens,-0.033378597,86668
slaapkamer,0.035977826,86589
verleden,-0.022966444,86523
tong,0.03705835,86509
zult,0.029405542,86232
trots,0.032268584,86202
sorry,-0.100348845,86163
voelt,-0.036835562,86150
behalve,0.029185016,86129
slecht,-0.030263394,85919
rand,-0.0050327964,85433
herinneren,-0.03492534,85430
volgde,0.017285638,85428
voorhoofd,-0.028027222,85372
vertel,-0.036005743,85321
nieuws,0.008232616,85172
geur,0.067041904,85095
blauwe,0.0739938,85033
kracht,0.02917552,84947
sam,-0.004285654,84936
contact,0.02061915,84928
opende,-0.0015821457,84898
voren,-0.005206058,84747
aantal,0.032506227,84737
reed,0.0040675774,84724
meeste,0.02058487,84599
vloer,-0.06813258,84457
vuur,-0.009281658,84388
leunde,0.008925572,84331
blijkbaar,0.013772406,84043
enorme,-0.027682032,83935
bewust,-0.018720262,83819
loopt,-0.040126566,83751
einde,-0.012596834,83663
tenminste,0.022295304,83638
totdat,0.010796465,83581
ding,-0.017826997,83230
fijn,0.12636851,83224
afstand,0.01697164,82975
gezet,-0.045162085,82670
rust,0.06722913,82645
zijne,0.095981315,82385
glijden,0.030035332,82382
meest,0.075757414,82335
bedacht,-0.015011759,82235
verlaten,-0.04072237,82231
verloren,-0.024915852,82166
via,0.01768928,82137
sterk,0.05322036,82128
veranderd,0.020092621,82012
geweten,-0.028657123,82001
aardig,0.07679854,81641
reactie,-0.03842648,81595
geluk,0.09428413,81586
wijn,0.101737015,81541
leggen,-0.04724957,81469
zuchtte,-0.043038193,81315
wang,0.045107298,81295
heerlijk,0.16911532,81080
geweldig,0.14494748,80928
werkte,0.039900016,80869
schoof,-0.003568709,80851
meisjes,0.04525862,80805
drinken,0.02043728,80700
verliefd,-0.028093666,80520
lagen,0.0076911263,80355
normaal,0.016555652,80315
baan,0.07407735,79760
voorstellen,-0.02253408,79725
gevoeld,-0.0050386637,79707
lach,0.048835255,79661
ken,0.018472265,79654
mr.,0.04716345,79480
borsten,0.097342886,79457
hoog,0.046031184,79183
heet,0.033452265,79149
zee,0.10468213,79146
vinger,0.028770389,79139
juiste,0.056706652,78854
loop,-0.021983508,78817
rijden,-0.018094182,78658
slaan,-0.10657315,78593
blijf,-0.024588067,78417
hoek,0.00019355677,78234
vorige,-0.012737468,78222
daarvoor,0.013190268,78176
stopte,-0.0072452426,78125
diepe,0.017845977,77892
meter,-0.020976717,77863
dikke,0.004133161,77801
verscheen,0.023687601,77345
deden,0.0113357715,77290
valt,-0.029220335,77285
raken,-0.08249447,77257
erbij,-0.025334325,77246
nieuw,0.085174866,77046
knieën,-0.048963673,76968
voegde,-0.007873412,76937
zak,-0.023151293,76640
ziekenhuis,-0.02298298,76595
der,0.043465797,76333
wonen,0.029450487,76238
jezelf,-0.028388806,76205
klinkt,-0.00066291075,76143
stevig,0.027758216,75998
schuld,-0.12473045,75860
degene,-0.045219284,75761
straks,-0.03176862,75725
reageerde,-0.030475587,75681
tas,-0.0034644082,75474
mogen,0.017985377,75462
veilig,0.058197442,75176
wilden,0.0025296863,75174
alex,0.050598364,74894
kennelijk,0.016594533,74892
eentje,0.010536574,74877
ontmoet,0.050185144,74754
beet,-0.089184396,74743
veranderen,-0.03786593,74639
toekomst,0.073458135,74636
meestal,0.028197132,74419
verschillende,0.049226545,74293
zomaar,-0.11775361,74189
sprong,-0.07500078,74011
tuin,0.10435893,73955
begrijpen,-0.061485767,73937
schoenen,-0.011501107,73739
opzij,-0.06000134,73510
gebeurde,-0.036854174,73376
beeld,0.043384343,73358
zet,-0.03726721,73281
hals,0.04183476,73206
zwaar,-0.05052363,73025
werkelijk,0.007969171,72913
beweging,0.029364403,72876
nummer,0.044022813,72647
mis,0.00019752234,72636
grootste,-0.0011225305,72607
hond,-0.048000015,72598
direct,-0.04726032,72554
mama,-0.009414468,72345
volle,0.10577084,72159
krijg,-0.042179182,71833
vreemde,-0.012024149,71619
gevallen,-0.05671578,71572
koud,-0.03281997,71567
vreselijk,-0.08258325,71397
leeg,-0.020694291,71353
verdween,0.02188038,71298
harde,-0.0140425805,71256
sommige,0.004617233,71162
begint,-0.026156068,71140
bedrijf,0.03527551,71043
broek,0.0006384514,70904
zocht,0.010280646,70701
probeer,-0.044199042,70360
lijf,-0.025002442,70240
enkel,-0.02408094,70229
hoopte,0.021479618,69905
muziek,0.17851397,69829
wind,0.022217333,69664
twintig,0.0034981482,69523
kin,0.011823828,69300
oren,-0.014746781,69166
onmogelijk,-0.029229462,69152
ongeveer,0.04721828,69043
oor,0.046761982,68969
informatie,0.008883014,68922
strak,0.0057259137,68857
gebruikt,-0.05348032,68812
betekende,0.009486459,68732
tante,0.05498278,68691
totaal,-0.027058512,68526
wit,0.037265744,68304
volledig,0.02939362,68277
betekent,-0.011332709,68164
verdriet,-0.119348675,68144
rook,0.013657928,68081
slot,-0.05593189,68072
gleed,0.033784218,68043
onderzoek,-0.037766494,67827
ermee,-0.078720234,67757
keken,-0.0038844217,67712
bedankt,0.07341694,67494
neemt,-0.008133836,67250
orde,0.043867882,67216
naartoe,-0.022044279,66966
waarbij,0.014979612,66868
new,0.06892716,66826
tijdje,-0.007325846,66573
uitdrukking,0.007812232,66560
achteren,-0.022401448,66513
zwart,0.039976485,66450
haast,-0.024010405,66438
glimlachend,0.14732347,66223
namen,0.048417956,66023
absoluut,0.012177795,65952
word,-0.06487961,65761
pak,0.008603405,65757
voet,-0.044579457,65731
speelde,0.096942544,65631
hangen,-0.046475425,65569
appartement,0.05926829,65488
jong,0.04622607,65450
vertrokken,-0.032222707,65428
prachtige,0.21785483,65244
prachtig,0.21370982,65130
oom,0.0026750676,65025
noemen,-0.018563516,65000
lieve,0.071276106,64943
zover,0.0005137399,64902
kopen,0.008500766,64794
stukje,0.043934792,64671
gemakkelijk,-0.0007252544,64612
erger,-0.16691875,64344
gooide,-0.07452356,64230
geslagen,-0.08118288,64147
gaten,-0.010506332,64114
bestaan,0.01996404,64077
bijzonder,0.16981776,64072
londen,0.093282595,64054
brief,-0.012795258,64047
bepaald,0.08888729,64033
gespannen,-0.018919101,63976
rood,-0.02845895,63799
baas,-0.012742363,63761
macht,-0.011909485,63690
leken,0.037801385,63641
kent,0.009268038,63633
bezoek,0.020233817,63596
kleur,0.105765246,63528
herinnering,0.014846832,63476
zolang,0.030594468,63234
behoefte,0.0025662258,62999
tevreden,0.15645966,62964
acht,-0.0023314087,62811
belde,-0.04295636,62811
gezin,0.0865631,62742
eh,-0.0041640056,62688
aangezien,0.027280223,62603
erover,-0.03246273,62552
huilen,-0.14043793,62542
emma,0.060807195,62530
plezier,0.07533802,62433
hoort,-0.033867933,62427
maag,-0.060947683,62249
zweeg,-0.0207689,62043
dichter,0.025631543,61988
boeken,0.06899833,61969
zowel,0.038652994,61847
rol,0.05464541,61704
schelen,-0.07035014,61576
stappen,-0.06353363,61523
hoogte,0.02326893,61458
geprobeerd,-0.0583435,61377
zware,-0.05558566,61376
drong,-0.02858673,61338
leiden,-0.00971853,61308
gebeld,-0.066966385,61215
bekend,0.013562441,61062
beiden,0.036703374,61021
papa,-0.0049802363,61008
klopt,-0.0034933118,60788
alweer,-0.031454742,60709
vertrekken,-0.010748435,60670
middel,0.054831076,60640
overtuigd,-0.010806926,60568
allerlei,-0.0058584483,60470
geraakt,-0.07324126,60378
max,0.043799583,60177
z,-0.015800191,60166
ach,-0.023879975,60143
gericht,-0.017425822,60091
persoon,0.025674313,60000
lachend,0.049957093,59971
